,Review,Rating
10785,"loved friendly clemens location excellentroom spotlessstairs interesting breakfast good value moneyservice excellantatmosphere friendly cosywe walked following advice helpful woman reception certainly saw city average tourist.will certainly return hotel recommended friends,  ",5
16061,"good value considering great location stayed hotel 7 times 23 years usually 2 weeks time, not stayed 6 years better package deals using hotels, apprehensive saw recent reviews suggested gone quality missing uk brochures previously given good 3 star rating bt kuoni british airways, decided bash booked flight edinburgh travel agent managed hotel sold quantas airline holidays brochure wllling sell hotel bargain person night, great 2 weeks holiday beloved singapore 16th time melt country love nicer people hard plant.anyway digress hotel not really changed room fine overall hotel getting little shabby type want 4/5 star hotels holiday enjoy luxury not, staff smile away friendly smile usually helps formal nature business chinese race uses off-putting westerners particular hong kong understand dont informal just different culture, want solid hotel basics spend day landmark hits right notes, gym nothing write home pool best morning shade afternoon, huge factor location, stayed years areas singers draws, main roads hotel perfect bus connections direction way, mrt tube train station bugis 300 yards away, shopping area excellent bugis street market day night nearby eat food court great value tourist rip-off long, hotel 3 level shopping arcade worth visit plenty late night shops nearby, loads eating options arab street area opposite hotel, shall singers year usual golden landmark fine, like old favourite coat getting shabbier does business hits basic points need best location singers, 23 years watched singapore hotels getting expensive occupancy rate high huge transit stop-over desination, getting hotel location bargain, good scotsman prefer channel saved money not going fancier hotel holiday entertainment ground camera jewellery food no contest gim landmark, arf arf, people like hotel limo meet instead far cheaper airport taxi like champagne room depends cut cloth people like indulge bloody cruise chomp drink way long metal boat 2 weeks visit various ports trip bus country 3 hours boat said, ahem..each no fear over-expectation landmark hotel pleasantly surprised realise landed best area pivot way around.hae fun,  ",4
6455,"absolutely wonderful hotel joy big city, bed comforter, staff extremely helpful, hotel offered coffee tea kitchen times bountiful breakfast choices free bagels muffins juice etc., hotel located restaurant row reasonably affordable restaurants food country imaginable two-mile radius, street actually quiet new york especially considering times square broadway theaters just short walk away, room overlooked courtyard not street definite plus, cold sit thanksgiving imagine charming place rewind warmer months, room not large bigger stayed manhattan, overall great bargain, looking forward staying day,  ",5
15963,"stay away shocking outrageous service check wait 10 hours nerve change booking rate high 170 travelling distance arrive singapore stay away hotel misery,  ",1
13768,"great hotel stayed adagio 2 nights august 2008. hotel good location blocks walk union square, room quiet given central location, hotel staff helpful local restaurant recommendations, definitely stay,  ",4
1837,"loved columbus motor inn.. reading great reviews hotel not disappointed, stayed days really happy location, close cable car stop muni route bike n roll rented bikes, quick walk fisherman wharf.the room newly renovated good size quiet requested, carpet flat screen tv mattresses pillows relatively new, bath area tiny hotel older nothing, family just rotated, totally worth free parking great location staff helpful, great maps lobby staff gave easy directions way, parking secured security cameras viewable lobby,  ",5
6268,"not stay place needs major remodel, hotel far away fun miami beach hotel food quite expensive options, charged 22 day parking 10 day resort fees really did not feel like resort, staff not helpful laughed did not feel like dressing spend 100 lousy restaurant like restaurant option, old room service menu room upset tried order not bring new, maintenance come fix phone utility box open bathroom exposing pipes wall, water shower quite cold tried different times, plus pool beach nice,  ",1
1297,"lawn mowers 5 a.m. given room golf course, woke 5 morning roar lawn mowers, 5 numerous fairways, wear tear rooms facilities obvious, beautiful old hotel not 3 stars, bring earplugs,  ",1
15454,"faultless experience stayed laguna september wonderful week.firstly starwoods preferred quest upgraded junior suite arrival breakfasts included, room best stayed n't reason staying nice come day.the staff attentive time talk guests.they gave big beaming smile greeted, grounds kept clean tidy condition, food good especially breakfast buffet, prices dinner comparable normal hotel prices alternate places eat bali collection just short walk away outside nusa dua complex suite budgets.having thought long time stay not think bad say property orl improvements make, just goes say big thank laguna perfect week,  ",5
7288,"good all-around value stayed hotel 3 nights beginning august, pleased experience, not prepared pay high prices hotels felt 134.00 pre night good median rate large city, hotel edge industrial/rundown area no problem walking 10 mins subway morning not sure like, returning twilight walked station, great features hotel free hotel shuttle service runs limited area meant dark subway local station await shuttle instead walking, rooms clean well-appointed 2 tvs fridge microwave internet connection continental breakfast, ks bed suite close door suite pull double sofa bed kids, unfortunately no on-site laundromat end stay, staff helpful knowledgeable,  ",4
14657,"quaint nice rooms hotel great price location, rooms huge, stayed bedroom suite, loved housekeeping issues, ask times room cleaned properly, housekeeping finally got right manager hotel sent bottle wine ice forgave stay, wo n't regret,  ",4
