Review,Rating
"moldy nightmare, huband traveled ct. punta cana stay meliacaribe, mistake, arrived late night did not notice thenext morning view half erected cement bldg instead ofbeautiful gardens beach, noticed upholsteredfurniture moldy, bldg 35 thought explained desk desk services taken care immeditately not punta cana, took 3 days, second room better nothing great 5 apple resort, food just ok did try nothing compared food home, calling morning book nights dinner reservations real pain, trip met lot nice people mark melissa dave nice family minnesota resort pretty weather sunny hot, rooms food service really damper things, time kept thinking spent addtional 1kand went aruba, better stay states servicethat used, spent 2700 trust n't worth it.if enjoy stay away bldg 35,  ",0
"neglected dirty just stayed hotel, website portrayed nice clean room not, mold shower old shower curtains ragged towels old blankets cigarette burns old furniture torn carpet, room noisy ice maker, garage nice, employees nice definetly not worth 100 night, hotel needs good cleaning updating,  ",0
"poor service worse hospitality stayed normadie hotel san juan puerto rico night business trip.as soon checked tried connect internet room, surprise calling times desk informed guests connect network cord room internet connection hotel not supply cord, tried turn tv no remote commander claiming desk waiting 20 minutes rude lady brought hardly worked overall room dirty signs humidity walls, considering payed 150 night poor experience,  ",0
"terrilbe/non-existent management downfall hotel wife domican republic times got engaged feel good sense expected country, fact soft spot dr. family trip time celebrating aunt uncles 25th anniversary parents siblings, occidental positives overall experience negative aspects doubt return dominican, start positives hotel layout nice staff does good job keeping things clean.the bartenders admirable job hustling despite fact people tipthe late night pizza available 6 surprisingly goodthe club mangu far happening club seen dr sadly negativesthe problem encountered quality room, room 2 twin beds pushed king appropriate married couple non functional ac non functional fan shower better described slow drip alternated ice cold scaldingly hot, pretty miserable night ac nor fan worked, subsequently allocated non renovated room, rest group allocated renovated rooms, getting moved renovated room ended major challenge, kept informed manager not not approval finally manager did arrive nect morning tried stay office reception attendant try pass messages forth, feel ridiculous, insisted speaking manager directly, tried say resort complete lie later 60 capacity no renovated rooms available, seeing people wheeling suitcases different buildings resort morning check, finally 3 trips reception culminating asking meeting general manager renovated room finally magically appeared, really no reason situation point, given 4 problems room plenty rooms available moved immediately, experience management issue lack managers rarely available repeated scenarios times remainder trip.the staff stop bothering just chilling attitude, example day left trying time bus pick airport, informed speak person coordinated bus currently lobby, went try not, told rep desk told theatre case property couple hours just wander trying, pretty annoying day leave wanted beach, asked just person coordinating bus make phone bus time just send message room time, experience not terrible right think just shows pervasive attitude staff.there constant stream people complaining various things desk created negative atmosphere quickly eroded confidence things run, food not good, consensus quickly emerged buffet best choice opposed specialty restaurants, interesting phenomenon restaurants nearly line door buffet, issues bathroom second day onward.the reception staff lack constant manager presence leaves guests impression nobody turn problems, quick example working fitness room afternoon, employee duty approached asked told god number asked ranked, told christian, bit loss respond just smiled returned workout, exchange proceeded corner fitness room chanting various prayers voice spiritu sankti, went 20 minutes workout, earlier frustrations desk thought told story just laugh funny colleague bothered tell anybody, negative quality nighttime entertainment, actually low expectations previous trips, occidental took things new low, example night mc spent 45 minutes playing thinking number 75 95 game 120 140 guessed, problem staff ignoring not disturb signs, twice walked taking nap.a final issue discuss not completely hotels fault played role, asked concierge book deep sea fishing, recommended company, spoke owner person arranged specific deal, wanted fish caught cleaned staff cooked local restaurant, quoted price type package told friend owned restaurant agreed cook fish favor long bought drinks orders restaurant, went caught 2 large mahi mahi took shore series unpleasant episodes, boat staff told usually fish fish, argue fact agreed owner fish, none staff wanted clean fish additional tip discussed point owner, finally restaurant owner told not cook fish unless got extra fish not eat spot no good promised cooked fish wives girlfriends, feel like everybody constantly trying scam piece possible chance, finally got fish cooked small local place nearby reasonable sum not pay exact negotiations, owner boat not available time anybody, despite success trip terms fish actually returned really bummed dr felt everybody trying scam, resolved not leave resort trips, really suggest avoiding leaving resort, finally actually ended funny joke staff managed incorrectly spell happy 25th anniversary cake ordered aunt uncle, conclude just avoid occidental, order improve matters property think completely overhaul management rethink organize hotel,  ",0
"not culture tourists come amsterdam club night drunk stoned like hostel probably ok maybe ignore review.if come amsterdam experience city culture able look holland not, room 8 beds disorganised meant sleeping resulting possiblity sleeping dirty linen ugh, no kitchen common room options room bar, bar reasonably expect bar noisy smoky not best place relax hard days walking, room ok bed linen clean, good major gripes people got wasted previous night sleeping afternoon meaning not lights chat disturbing, bunk beds vertically close bunk not space able sit bed, big warning sure n't tell hostel close red light district n't thing n't stay,  ",0
"good news bad news fairmont olympic just returned night two-night stay fairmont olympic hotel seattle stayed years ago seasons property despite mixed reviews thought try experience good, start good news, feel welcome moment walk door friendly staff people running open door smile come contact, concierge desk team accomodating, grand lobby remembered best gym pool facility seen hotel country, wonderful locker room amenities, wonderful stay hotel expect just friendly service particularly 350 night, rooms shall say awful, checked late friday night went room smelled like mold, stepped 1970 time warp room big looked dated cheap wallpaper lighting fixtures, room big no furniture looked kind ridiculous, called downstairs requested moved thankfully second room did n't smell felt dated, felt paying seasons prices ramada room, said ca n't beat location service valet car parkers leave milk cookies bring car check, trying nice hotels neighborhood visit fairmont real let-down seattle,  ",0
"bad expensive stayed bad hotels uncleaniness rudeness overprice hidden fees incredible, stayed worst hotel, definatelly worst experience hotels had.-room dirty dusty-sheets dirtly blood not changed 3 days-fees including use minibar-rude unpolite service desk attendants-fleas bedthere nice hotels area stayed ffor, stay away definatelly not worth headache,  ",0
"testament location not wife stayed tad hotel visiting louisiana facilities disappointing, knew whe booked ramada not store ritz figured gold key property ramada best considered 3-1/2 star property, dead wrong, staff rude, got said sold showed room reserved hotels.com offered no assistance whatsoever offered sister property ramada limited metairie la, not acceptable, long story short threw fit gave broom-closet type room small uncleaned missing tv, did finally bring tv afternoon bad not reccommend hotel whatsoever, stay block bourbon trust glad did,  ",0
"ripped, waited 3 days prior arriving booking reservation used priceline ended hotel, turned family-friendly no accomodations kids outside pool, checking gave receipt headed airport, days returning home hotel slammed account additional charges did not incur, ripped no way getting money states, advice big chains, hilton right door normandie restaurants shops instead,  ",0
"horrid experience room stayed dirty small got house keeping, day cake bed no fresh towles no fresh cups coffee..etc.. stayed low budget hotels better service hotel,  ",0
